symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2023-02-28,23270.7,23278.36,23031.27,23148.3,427.966819,9908.0,23128.933093
BTC/USD,2023-02-28,23148.05,23242.84,23101.56,23154.15,144.339384829,3709.0,23184.210362
BTC/USD,2023-02-28,23157.7,23200.05,23095.48,23142.54,213.259584294,4279.0,23146.394896
BTC/USD,2023-03-01,23144.78,23225.07,23015.1,23098.6,237.938235,5909.0,23129.105322
BTC/USD,2023-03-01,23104.5,23299.3,23076.94,23247.69,252.255192,5363.0,23202.20626
BTC/USD,2023-03-01,23245.58,23336.02,23237.39,23331.8,138.792082,3347.0,23277.534843
BTC/USD,2023-03-01,23335.0,23492.69,23308.81,23444.72,450.560243,8272.0,23426.529166
BTC/USD,2023-03-01,23440.2,23841.55,23427.81,23791.25,387.827391101,8415.0,23632.908946
BTC/USD,2023-03-01,23791.25,23822.33,23634.17,23694.0,346.084164083,7575.0,23709.774748
BTC/USD,2023-03-01,23694.0,23799.0,23666.06,23753.41,295.073787038,6562.0,23735.614104
BTC/USD,2023-03-01,23755.9,23766.014,23686.34,23718.89,185.106430162,4017.0,23728.093516
BTC/USD,2023-03-01,23714.4,23994.59,23685.0,23869.21,340.302614672,6807.0,23818.87497
BTC/USD,2023-03-01,23867.41,23906.63,23727.52,23757.71,249.197051856,5467.0,23801.15592
BTC/USD,2023-03-01,23759.6,23787.39,23675.82,23776.43,130.192506365,2963.0,23736.897572
BTC/USD,2023-03-01,23775.62,23790.07,23697.32,23738.59,132.314346941,2181.0,23749.552898
BTC/USD,2023-03-01,23734.53,23820.39,23700.56,23721.56,98.692226643,2572.0,23749.869177
BTC/USD,2023-03-01,23725.65,23735.22,23616.46,23688.75,183.48001615,4637.0,23678.768351
BTC/USD,2023-03-01,23686.92,23888.0,23571.89,23684.22,547.265393485,11265.0,23728.198948
BTC/USD,2023-03-01,23684.22,23771.54,23569.2,23716.68,585.486338195,14743.0,23678.447972
BTC/USD,2023-03-01,23711.22,23750.0,23557.83,23699.64,333.616416899,8742.0,23656.595614
BTC/USD,2023-03-01,23700.89,23745.11097,23672.4,23707.56,230.226855915,5077.0,23710.790696
BTC/USD,2023-03-01,23705.71,23726.21,23643.47,23689.2,139.136889968,3095.0,23686.488978
BTC/USD,2023-03-01,23689.21,23694.93,23335.0,23358.1,454.878083324,8378.0,23536.531074
BTC/USD,2023-03-01,23357.25,23475.0,23307.21,23421.11,360.786186683,7114.0,23414.041785
BTC/USD,2023-03-01,23422.61,23594.22,23370.0,23555.2,242.925077356,5329.0,23505.350561
BTC/USD,2023-03-01,23559.51,23576.9,23444.04,23533.76,103.277394,3306.0,23505.266231
